"","compound","LSM.ID","LSM.name","cell","Concordance","Tanimoto","autodock","Rank_S2L","Rank_Autodock","Geomean"
"1","CHEMBL1421","LSM-1020","Dasatinib","MCF10A",0.365,1,2.39e-08,2,2311,67.9852925271341
"2","CHEMBL1421","LSM-1020","Dasatinib","MCF10A",0.365,1,2.39e-08,3,2312,83.282651254628
"3","CHEMBL1421","LSM-1020","Dasatinib","MCF10A",0.365,1,2.39e-08,4,2313,96.1873172512884
"4","ZINC20180127","LSM-45291","Conivaptan HCl","YAPC",0.242,0.865,2.76e-10,1751,6,102.49878048055
"5","CHEMBL1421","LSM-1020","Dasatinib","MCF10A",0.365,1,2.39e-08,5,2314,107.563934476199
"6","CHEMBL1421","LSM-1020","Dasatinib","MCF10A",0.365,1,2.39e-08,6,2315,117.855844148689
"7","ZINC63627870","LSM-4706","F1566-0341","NEU",0.257,0.946,1.55e-09,251,67,129.680376310373
"8","CHEMBL455208","LSM-45574","R428","MCF7",0.251,0.725,5.35e-11,17047,1,130.564160472926
"9","CHEMBL554","LSM-1051","Lapatinib","PC3",0.344,1,1.77e-08,11,1676,135.779232579949
"10","ZINC09477665","LSM-45706","LY2801653","A375",0.255,0.968,2.32e-09,178,112,141.194900757782
"11","ZINC06023156","LSM-5371","Lithocholic acid","MCF7",0.301,0.882,6.31e-10,1139,21,154.65768652091
"12","ZINC20238746","LSM-3244","SMR000047763","VCAP",0.282,0.901,9.35e-10,714,36,160.324670590649
"13","ZINC01900623","LSM-1158","Foretinib","PC3",0.277,0.792,1.86e-10,7268,4,170.505131887577
"14","CHEMBL402011","LSM-45630","SLx-2119","A375",0.192,0.83,3.18e-10,3788,9,184.640190641149
"15","CHEMBL455208","LSM-45574","R428","MCF7",0.251,0.725,5.35e-11,17048,2,184.651022201341
"16","ZINC03875735","LSM-2913","Parachlorophenol","VCAP",0.367,1,4.37e-05,1,35601,188.682272617223
"17","CHEMBL424093","LSM-5774","Vatalanib","PC3",0.227,0.833,4.38e-10,3570,10,188.944436276912
"18","ZINC35911396","LSM-42778","Neratinib","YAPC",0.323,0.91,1.63e-09,569,69,198.143887112371
"19","CHEMBL424093","LSM-5774","Vatalanib","PC3",0.227,0.833,4.38e-10,3571,11,198.194349061723
"20","ZINC03234670","LSM-2415","MLS000581978","A549",0.393,0.947,3.22e-09,238,178,205.825168529021
"21","CHEMBL472581","LSM-1051","Lapatinib","PC3",0.344,0.946,3.48e-09,249,195,220.351991141446
"22","CHEMBL472581","LSM-1051","Lapatinib","PC3",0.344,0.946,3.48e-09,250,196,221.359436211787
"23","ZINC05065092","LSM-36933","CCG-208038","FIBRNPC",0.239,0.917,2.18e-09,499,99,222.263357303897
"24","ZINC12498103","LSM-45387","","MCF7",0.258,0.846,6.09e-10,2681,20,231.559927448598
"25","ZINC20238752","LSM-45291","Conivaptan HCl","YAPC",0.242,0.938,3.3e-09,298,183,233.525159244138
"26","CHEMBL1077305","LSM-45574","R428","MCF7",0.251,0.712,5.42e-11,19328,3,240.798671092679
"27","CHEMBL515082","LSM-3800","CHEMBL453376","HCC515",0.341,0.944,3.88e-09,261,233,246.602919690745
"28","CHEMBL515082","LSM-3800","CHEMBL453376","HCC515",0.341,0.944,3.88e-09,262,234,247.60452338356
"29","ZINC14544594","LSM-43191","Axitinib","HA1E",0.3,0.855,8.17e-10,2216,29,253.50345165303
"30","ZINC40826759","LSM-3767","Olmesartan Medoxomil","VCAP",0.308,0.783,3.02e-10,8386,8,259.013513160993
"31","CHEMBL521887","LSM-1023","Imatinib","HT29",0.304,0.899,2.03e-09,769,91,264.535441859876
"32","CHEMBL521887","LSM-1023","Imatinib","HT29",0.304,0.899,2.03e-09,770,92,266.15784790233
"33","ZINC20663050","LSM-1081","PDK1 Inhibitor","PC3",0.313,0.742,2.08e-10,14171,5,266.186025177882
"34","CHEMBL483321","LSM-42777","CP-724714","SKBR3",0.333,1,4.47e-08,17,4337,271.5308453933
"35","CHEMBL525725","LSM-2415","MLS000581978","A549",0.393,0.903,2.32e-09,673,113,275.769831562483
"36","ZINC39541761","LSM-45291","Conivaptan HCl","YAPC",0.242,0.938,4.13e-09,299,258,277.74448689398
"37","ZINC04047854","LSM-6186","STK064652","PC3",0.341,1,7.15e-08,13,6427,289.05189845424
"38","ZINC51347712","LSM-1831","AC1L99UL","HT29",0.202,0.854,9.54e-10,2295,37,291.401784483211
"39","ZINC08553728","LSM-45980","TG 100801","MCF7",0.231,0.798,4.62e-10,6633,13,293.647748160956
"40","ZINC03875340","LSM-1488","Ovasterol-beta","HCC515",0.25,1,1.26e-08,78,1131,297.015151128692
"41","ZINC20149808","LSM-2218","MLS-0257792.0001","A375",0.308,0.928,4.02e-09,363,248,300.039997333689
"42","CHEMBL1173655","LSM-42794","C24H25CLFN5O3","SKBR3",0.345,1,1.45e-07,9,10609,309
"43","CHEMBL283088","LSM-1199","Vandetanib","MCF7",0.291,0.917,3.48e-09,493,197,311.642423299524
"44","ZINC01898163","LSM-1158","Foretinib","PC3",0.277,0.811,5.98e-10,5338,19,318.46820877444
"45","ZINC22524158","LSM-5344","Mocetinostat","PC3",0.374,0.854,1.12e-09,2262,45,319.04545130749
"46","CHEMBL257411","LSM-45494","AC480 (BMS-599626)","YAPC",0.209,0.782,4.38e-10,8566,12,320.61191493767
"47","ZINC15227830","LSM-4706","F1566-0341","NEU",0.257,0.935,4.86e-09,320,326,322.986067810982
"48","CHEMBL1173655","LSM-42794","C24H25CLFN5O3","SKBR3",0.345,1,1.45e-07,10,10610,325.729949498047
"49","ZINC39945319","LSM-3382","T 98475","HCC515",0.274,0.876,1.94e-09,1313,87,337.980768683663
"50","ZINC01903361","LSM-6710","BGT-226","HT29",0.282,0.823,7.61e-10,4284,27,340.099985298441
"51","ZINC19645922","LSM-2218","MLS-0257792.0001","A375",0.308,0.947,6.44e-09,241,492,344.342852401498
"52","ZINC01898165","LSM-1158","Foretinib","PC3",0.277,0.811,7.41e-10,5339,23,350.42402885647
"53","ZINC03984008","LSM-1483","Teniposide","A549",0.336,1,9.15e-08,16,7727,351.613424089582
"54","ZINC20711220","LSM-1338","IN1304","HCC515",0.314,0.821,8.17e-10,4389,30,362.863610741006
"55","ZINC32106807","LSM-42689","Fcodpguefhccia-Uhfffaoysa-N","RMUGS",0.251,0.907,3.72e-09,618,220,368.727541688982
"56","ZINC14932715","LSM-4706","F1566-0341","NEU",0.257,0.914,4.19e-09,522,263,370.521254451077
"57","ZINC40826786","LSM-3767","Olmesartan Medoxomil","VCAP",0.308,0.771,4.83e-10,9835,14,371.06603185956
