"LINCS Candidate Name","Candidate LSM ID","Cell Line","Concordance"
"Dactinomycin","LSM-5783","A549",0.459
"MLS002264414","LSM-3733","A549",0.458
"BIO2_000413","LSM-5781","HA1E",0.432
"MLS-0004183.0001","LSM-3299","VCAP",0.43
"BRD-K24752075","LSM-38623","VCAP",0.427
"ML098","LSM-3713","A549",0.425
"Alvocidib","LSM-1011","A549",0.425
"Avicin-G","LSM-44622","A549",0.422
"Tropanyl-3,5-dimethylbenzoate","LSM-1860","VCAP",0.421
"Avicin-D","LSM-44620","A549",0.42
"BP-554","LSM-3007","VCAP",0.42
"BCB03_000263","LSM-36628","MCF7",0.42
"BRD-K51810646","LSM-11597","VCAP",0.42
"Desoxycorticosterone","LSM-4222","VCAP",0.42
"AC1M5YQH","LSM-4627","MCF7",0.416
"Maackiain","LSM-1932","A549",0.416
"AB01274770-01","LSM-5349","A549",0.416
"BRD-K14383710","LSM-38012","VCAP",0.415
"MLS002264470","LSM-2091","VCAP",0.414
"AZD-5438","LSM-1159","A549",0.414
"BRD-K88278225","LSM-42082","A549",0.41
"MLS003329219","LSM-2578","A549",0.41
"BRD-K81858524","LSM-41739","VCAP",0.409
"CHEMBL2356872","LSM-37526","VCAP",0.409
"Chaetocin","LSM-6198","MCF7",0.408
"Daunorubicin","LSM-2962","A549",0.408
"Oxetane","LSM-44627","A375",0.407
"SA-1459256","LSM-40384","MCF7",0.406
"BRD-K43905345","LSM-39689","VCAP",0.4
"MLS003329222","LSM-3881","A549",0.399
"Aminopentamide Sulfate","LSM-1745","VCAP",0.399
"ICI 192,605","LSM-1887","A549",0.399
"BRD-K08982647","LSM-37751","A549",0.398
"BRD-K20099363","LSM-9651","A549",0.398
"CYTO7H11","LSM-4351","MCF7",0.397
"Lamotrigine","LSM-4104","VCAP",0.397
"BRD-K23021002","LSM-38522","VCAP",0.396
"BRD-K91044787","LSM-42234","VCAP",0.396
"Phtpp","LSM-3711","VCAP",0.395
"CGP-37157","LSM-1484","VCAP",0.395
"PI828","LSM-4198","ASC",0.395
"MLS003329221","LSM-3836","A549",0.395
"BRD-K45114520","LSM-11172","VCAP",0.394
"MLS000581978","LSM-2415","A549",0.393
"AC1NSOND","LSM-43112","A549",0.392
"BRD-K43556160","LSM-11081","A549",0.392
"Amodiaquine","LSM-4042","A549",0.39
"CHEMBL585951","LSM-36386","MCF7",0.39
"T5236894","LSM-6460","A549",0.39
"BRD-K13417398","LSM-9231","VCAP",0.389
"Bisoprolol","LSM-1886","YAPC",0.389
"BRD-K75813018","LSM-13065","A549",0.389
"JW 55","LSM-6318","HCC515",0.389
"Palmitoyl Dopamine","LSM-2468","A549",0.389
"Mitoxantrone","LSM-2481","MCF7",0.389
"AC1MJ3VH","LSM-1731","A549",0.389
"2-Fluoroadenosine","LSM-4828","MCF7",0.388
"BRD-K95208083","LSM-14263","A549",0.388
"MLS000860958","LSM-2484","A549",0.388
"MLS003128612","LSM-3784","A549",0.386
"Actinomycin-D","LSM-36885","HA1E",0.386
"CGP 60474","LSM-1025","A549",0.386
"AC1Q6JJ5","LSM-6192","A549",0.386
"CHEMBL2333346","LSM-36791","HA1E",0.386
"BRD-K37060179","LSM-10670","VCAP",0.385
"7,8-Dihydroxychlorpromazine","LSM-37065","NPC",0.385
"Acyclovir","LSM-5459","MCF7",0.384
"MLS003429133","LSM-42916","MCF7",0.384
"Thioproperazine","LSM-2170","A549",0.384
"Avrainvillamide Analog 5","LSM-45314","A549",0.383
"COL-3","LSM-36908","A549",0.383
"Papaverine","LSM-2338","VCAP",0.383
"O-2050","LSM-2030","A375",0.383
"COT-10B","LSM-6226","HEPG2",0.382
"BRD-K36701739","LSM-10648","VCAP",0.382
"2-(4-Methoxybenzylthio)-6-methylpyrimidin-4-ol","LSM-3060","A549",0.382
"NCGC00010694","LSM-3205","PC3",0.382
"Azacyclonol","LSM-4191","A549",0.382
"BRD-K51556300-001-01-9","LSM-40116","VCAP",0.381
"Duloxetine","LSM-3591","A549",0.381
"Doxorubicin","LSM-4062","MCF7",0.381
"BRD-K59253994","LSM-36435","MCF7",0.38
"BRD-K17180926","LSM-38179","VCAP",0.38
"BRD-K04076294","LSM-37493","VCAP",0.38
"Beta CCP","LSM-3910","A549",0.38
"SCHEMBL1564574","LSM-1006","MDAMB231",0.38
