User-added Candidate,LINCS Analog,LINCS Analog Name,Cell Line,Concordance,Similarity
ZINC03875735,LSM-2913,Parachlorophenol,VCAP,0.367,1
CHEMBL1421,LSM-1020,Dasatinib,MCF10A,0.365,1
CHEMBL1421,LSM-1020,Dasatinib,MCF10A,0.365,1
CHEMBL1421,LSM-1020,Dasatinib,MCF10A,0.365,1
CHEMBL1421,LSM-1020,Dasatinib,MCF10A,0.365,1
CHEMBL1421,LSM-1020,Dasatinib,MCF10A,0.365,1
ZINC42173972,LSM-1381,VU0447126-2,A375,0.351,1
ZINC40796211,LSM-3771,Leflunomide,VCAP,0.349,1
CHEMBL1173655,LSM-42794,C24H25CLFN5O3,SKBR3,0.345,1
CHEMBL1173655,LSM-42794,C24H25CLFN5O3,SKBR3,0.345,1
CHEMBL554,LSM-1051,Lapatinib,PC3,0.344,1
ZINC04047855,LSM-6186,STK064652,PC3,0.341,1
ZINC04047854,LSM-6186,STK064652,PC3,0.341,1
CHEMBL56543,LSM-2255,IN1436,PC3,0.339,1
CHEMBL572881,LSM-1042,Motesanib,HA1E,0.338,1
ZINC03984008,LSM-1483,Teniposide,A549,0.336,1
CHEMBL483321,LSM-42777,CP-724714,SKBR3,0.333,1
CHEMBL939,LSM-1098,Gefitinib,SKBR3,0.332,1
CHEMBL939,LSM-1098,Gefitinib,SKBR3,0.332,1
ZINC13154941,LSM-6366,AC1MEEHF,NKDBA,0.329,1
ZINC04123742,LSM-6366,AC1MEEHF,NKDBA,0.329,1
CHEMBL180022,LSM-42778,Neratinib,YAPC,0.323,1
CHEMBL180022,LSM-42778,Neratinib,YAPC,0.323,1
CHEMBL67027,LSM-43030,RG 13022,VCAP,0.322,1
ZINC03882042,LSM-5641,Triamcinolone Acetonide,A375,0.32,1
ZINC43162923,LSM-5641,Triamcinolone Acetonide,A375,0.32,1
ZINC00343713,LSM-2249,AD-193/42475508,HT29,0.318,1
ZINC33399280,LSM-3337,CID-2858522,HCT116,0.313,1
ZINC12503317,LSM-3494,Amdinocillin Pivoxil,HEPG2,0.312,1
ZINC16952033,LSM-45957,,HELA,0.308,1
CHEMBL567331,LSM-2988,CHEMBL1374544,PC3,0.301,1
ZINC04245686,LSM-3664,Ergocryptine,HEPG2,0.297,1
ZINC02560258,LSM-42804,KN93,NPC,0.295,1
CHEMBL118109,LSM-2158,"3-{3-[(1,3-Benzothiazol-2-ylsulfanyl)methyl]-4-hydroxy-5-methoxyphenyl}-2-cyanoprop-2-enamide",PC3,0.29,1
CHEMBL607707,LSM-42796,Pelitinib,MCF10A,0.29,1
CHEMBL607707,LSM-42796,Pelitinib,MCF10A,0.29,1
ZINC22011945,LSM-2929,Triclosan,A375,0.29,1
CHEMBL53898,LSM-3628,Tyrphostin B46,HCC515,0.289,1
CHEMBL215152,LSM-1067,AZD-1152-HQPA,HS578T,0.288,1
CHEMBL215152,LSM-1067,AZD-1152-HQPA,HS578T,0.288,1
ZINC36378558,LSM-1304,Talampicillin,HEPG2,0.288,1
CHEMBL278041,LSM-1168,SB-203580,MCF7,0.284,1
CHEMBL278041,LSM-1168,SB-203580,MCF7,0.284,1
CHEMBL278041,LSM-1168,SB-203580,MCF7,0.284,1
ZINC03782486,LSM-5062,AC1NQXBX,MCF7,0.282,1
ZINC43721964,LSM-4209,Beclomethasone Dipropionate,VCAP,0.281,1
ZINC26255038,LSM-4209,Beclomethasone Dipropionate,VCAP,0.281,1
ZINC03938744,LSM-4209,Beclomethasone Dipropionate,VCAP,0.281,1
ZINC44710188,LSM-2862,Bithionol,HCC515,0.281,1
ZINC39069977,LSM-4547,MLS000037800,HEPG2,0.279,1
ZINC43464515,LSM-3476,Zoxazolamine,VCAP,0.276,1
CHEMBL124660,LSM-5949,Tandutinib,MCF7,0.272,1
CHEMBL124660,LSM-5949,Tandutinib,MCF7,0.272,1
ZINC15449302,LSM-5384,Norgestimate,PC3,0.27,1
ZINC05651672,LSM-5384,Norgestimate,PC3,0.27,1
ZINC15449305,LSM-5384,Norgestimate,PC3,0.27,1
ZINC43781601,LSM-5384,Norgestimate,PC3,0.27,1
ZINC05651353,LSM-5384,Norgestimate,PC3,0.27,1
ZINC04453377,LSM-4898,ST014366,A549,0.27,1
ZINC01490299,LSM-6224,SCH-79797,U937,0.268,1
ZINC00784471,LSM-4563,172985-18-1,A549,0.267,1
ZINC09193769,LSM-3785,168279-54-7,MCF7,0.264,1
ZINC13515952,LSM-1278,BIO2_000330,A375,0.264,1
CHEMBL76589,LSM-43079,Tyrphostin AG-112,YAPC,0.263,1
ZINC38595287,LSM-45443,"Forskolin, NKH477",HELA,0.263,1
CHEMBL406845,LSM-3047,PP 1,HCC515,0.26,1
ZINC03416087,LSM-4862,MLS-0315871.0001,VCAP,0.259,1
ZINC13559454,LSM-42780,GSK-3 Inhibitor IX,MCF10A,0.258,1
ZINC00553381,LSM-45809,,A375,0.257,1
CHEMBL268868,LSM-5309,Daph,VCAP,0.255,1
ZINC35606355,LSM-1402,Saclofen,HEPG2,0.255,1
CHEMBL258940,LSM-3584,Falnidamol,HCC515,0.253,1
ZINC11616007,LSM-45401,Maxacalcitol-D6,HA1E,0.253,1
CHEMBL319620,LSM-5864,Lavendustin C,VCAP,0.252,1
CHEMBL67535,LSM-42937,Bis-Tyrphostin,MCF7,0.251,1
CHEMBL56393,LSM-42862,Tyrphostin AG 538,NPC,0.25,1
CHEMBL56393,LSM-42862,Tyrphostin AG 538,NPC,0.25,1
ZINC03875340,LSM-1488,Ovasterol-beta,HCC515,0.25,1
ZINC63191103,LSM-3179,MLS002554298,A549,0.249,1
ZINC43772526,LSM-43088,Calcitriol,PC3,0.246,1
ZINC43919368,LSM-43088,Calcitriol,PC3,0.246,1
ZINC39133296,LSM-5930,Carbimazole,A375,0.246,1
ZINC19632603,LSM-2850,Domperidone,HCC515,0.244,1
ZINC15685830,LSM-1936,Indapamide,PC3,0.242,1
ZINC48949627,LSM-5739,Aminohippuric acid,MCF7,0.242,1
ZINC44963247,LSM-43229,Epothilone A,NPC,0.241,1
ZINC04426856,LSM-3736,Triamcinolone,A375,0.241,1
ZINC11592697,LSM-3736,Triamcinolone,A375,0.241,1
ZINC13783422,LSM-3736,Triamcinolone,A375,0.241,1
ZINC03977910,LSM-3736,Triamcinolone,A375,0.241,1
ZINC00152617,LSM-2895,MLS003079543,A375,0.241,1
ZINC63913772,LSM-5484,2-Aminopurine,VCAP,0.24,1
CHEMBL135853,LSM-45421,PD153035 (Hydrochloride),HELA,0.236,1
CHEMBL135902,LSM-45421,PD153035 (Hydrochloride),HELA,0.236,1
CHEMBL97162,LSM-44951,SB 239063,MCF10A,0.234,1
CHEMBL97162,LSM-44951,SB 239063,MCF10A,0.234,1
ZINC39082208,LSM-2874,Amthamine,HCC515,0.231,1
CHEMBL101253,LSM-5774,Vatalanib,PC3,0.227,1
CHEMBL101253,LSM-5774,Vatalanib,PC3,0.227,1
ZINC04521755,LSM-1365,SPECTRUM_001054,HA1E,0.227,1
ZINC09212322,LSM-1365,SPECTRUM_001054,HA1E,0.227,1
ZINC03913674,LSM-2733,4-Bromo-2-(piperazin-1-yl)thiazole,A375,0.227,1
ZINC40725468,LSM-1872,MLS002264507,PC3,0.226,1
ZINC37175586,LSM-1872,MLS002264507,PC3,0.226,1
ZINC59366484,LSM-5665,Methylhydantoin-5-(L),MCF7,0.224,1
ZINC13660201,LSM-44563,MLS000863584,HEPG2,0.219,1
ZINC13333976,LSM-44563,MLS000863584,HEPG2,0.219,1
ZINC43385135,LSM-36846,SCHEMBL11413072,NPC,0.218,1
ZINC45648090,LSM-2478,STK151112,VCAP,0.217,1
ZINC50308259,LSM-45234,IMEXON,MCF7,0.217,1
ZINC32502425,LSM-45308,TP14,HT29,0.216,1
ZINC04245690,LSM-1893,BSPBIO_002280,HT29,0.214,1
ZINC43191454,LSM-1904,Betamethasone Acetate,NPC,0.212,1
ZINC03647770,LSM-1529,Cyclopenthiazide,A375,0.208,1
ZINC35634372,LSM-6588,N-Cyclooctyl-4-methylbenzenesulfonamide,VCAP,0.205,1
CHEMBL56731,LSM-2755,"2-Cyano-3-(3,4-dihydroxyphenyl)-n-phenylprop-2-enamide",HEPG2,0.205,1
ZINC52094993,LSM-5875,Triclabendazole,VCAP,0.203,1
ZINC03977853,LSM-1993,Flurandrenolide,VCAP,0.203,1
ZINC31544793,LSM-1642,AC1MR9ZN,HT29,0.202,1
ZINC06019768,LSM-4455,3-Aminomethylbutanoic acid,A375,0.202,1
ZINC39095263,LSM-4455,3-Aminomethylbutanoic acid,A375,0.202,1
ZINC34446351,LSM-4519,"1,2,3,4,5,6-Hexabromocyclohexane",SKB,0.201,1
ZINC35464201,LSM-37160,Methoxychlor,HA1E,0.201,1
ZINC08419010,LSM-37160,Methoxychlor,HA1E,0.201,1
ZINC29051126,LSM-45949,Retapamulin,HA1E,0.2,1
ZINC14953618,LSM-1482,CHEMBL153158,HA1E,0.198,1
ZINC00590240,LSM-45506,Indacaterol Maleate,YAPC,0.186,1
ZINC03874477,LSM-1385,AC1L1I5D,A549,0.182,1
ZINC01703741,LSM-4959,Vigabatrin,MCF7,0.178,1
ZINC62345743,LSM-5808,Clorgiline,MCF7,0.172,1
ZINC31160178,LSM-4585,ACON1_001671,A549,0.171,1
CHEMBL179274,LSM-42778,Neratinib,YAPC,0.323,0.989
CHEMBL179274,LSM-42778,Neratinib,YAPC,0.323,0.989
ZINC05551729,LSM-44614,MW-STK33-100,THP1,0.29,0.982
ZINC00288866,LSM-4899,ST014147,VCAP,0.285,0.982
ZINC00632573,LSM-4899,ST014147,VCAP,0.285,0.982
ZINC16449897,LSM-43277,PRL-3InhibitorI,MCF7,0.248,0.982
ZINC08791831,LSM-1280,SPECTRUM_001095,MCF7,0.231,0.981
